quarter,epu_qavg
2000Q1,40.47351004666667
2000Q2,34.31531749
2000Q3,33.852488023333336
2000Q4,33.62467715666667
2001Q1,50.505109876666666
2001Q2,31.698709733333335
2001Q3,37.53574545
2001Q4,55.028615300000006
2002Q1,52.469175576666665
2002Q2,41.07656737666667
2002Q3,51.318627660000004
2002Q4,69.18549440333332
2003Q1,48.44634940333333
2003Q2,75.12676709333333
2003Q3,65.38484835666667
2003Q4,51.61872815666666
2004Q1,53.77422180666667
2004Q2,49.038952396666666
2004Q3,42.10128182
2004Q4,61.2610235
2005Q1,43.20746185666667
2005Q2,49.99317496333333
2005Q3,63.65838602333333
2005Q4,50.71940460333334
2006Q1,72.14108587
2006Q2,48.06519474
2006Q3,46.682463023333334
2006Q4,64.65319259666667
2007Q1,42.99952586999999
2007Q2,40.83712531333333
2007Q3,56.00209441333334
2007Q4,61.934774110000006
2008Q1,90.79172973666668
2008Q2,74.04889000666667
2008Q3,119.46471193333333
2008Q4,133.91671970000002
2009Q1,117.62445886666666
2009Q2,106.06956519
2009Q3,149.01201463333334
2009Q4,115.9650145
2010Q1,123.04462483333333
2010Q2,113.48594169333334
2010Q3,101.59190346333332
2010Q4,105.65102788333333
2011Q1,111.60794149333333
2011Q2,103.98311261666667
2011Q3,127.54044813
2011Q4,159.72871866666665
2012Q1,132.12712866666666
2012Q2,132.83483733333333
2012Q3,106.54645106999999
2012Q4,125.83372976666668
2013Q1,101.64745566666666
2013Q2,97.96971666
2013Q3,92.69466243333333
2013Q4,132.62215236666665
2014Q1,91.36728097999999
2014Q2,104.26113379333333
2014Q3,93.36993777666667
2014Q4,92.94899533666667
2015Q1,103.13750814999999
2015Q2,75.90869522999999
2015Q3,96.75868113
2015Q4,92.65194671666667
2016Q1,130.25381536666666
2016Q2,138.08048403333333
2016Q3,125.42993303333333
2016Q4,123.49123913333331
2017Q1,277.1634031333333
2017Q2,177.5359504666667
2017Q3,199.77025816666665
2017Q4,172.08519783333335
2018Q1,222.93936206666663
2018Q2,218.5425772
2018Q3,326.4120992333333
2018Q4,343.3584498333333
2019Q1,313.07865904254464
2019Q2,444.52960009810164
2019Q3,373.0943110528387
2019Q4,322.73189926467563
2020Q1,221.81019395165933
2020Q2,417.2603185525747
2020Q3,423.231897909074
2020Q4,499.2494778645523
2021Q1,306.0220827984123
2021Q2,242.08446580945403
2021Q3,265.90077981147834
2021Q4,307.1821261701903
2022Q1,281.71952845884
2022Q2,350.6663275795067
2022Q3,287.805115257664
2022Q4,339.3783468473277
2023Q1,385.559387683619
2023Q2,305.6680848723353
2023Q3,236.794374952814
2023Q4,234.37320298133702
2024Q1,256.8797767843227
2024Q2,165.772114779423
2024Q3,236.7334570786967
2024Q4,275.4374689602267
2025Q1,308.44560057834764
2025Q2,453.89623786577596
2025Q3,289.50413248491697
2025Q4,488.3334375467555
