quarter,gpr_qavg
1985Q1,114.68451690673828
1985Q2,113.32489013671875
1985Q3,106.37467447916667
1985Q4,99.0870869954427
1986Q1,110.9291508992513
1986Q2,120.66578420003255
1986Q3,105.05187225341797
1986Q4,98.77301025390625
1987Q1,95.74462890625
1987Q2,102.07580057779948
1987Q3,106.66916147867839
1987Q4,102.3561528523763
1988Q1,93.20472971598308
1988Q2,101.34403737386067
1988Q3,80.77576700846355
1988Q4,77.5491231282552
1989Q1,89.53297170003255
1989Q2,92.28971862792969
1989Q3,93.15874735514323
1989Q4,91.63563791910808
1990Q1,75.51439921061198
1990Q2,82.57735697428386
1990Q3,174.96634928385416
1990Q4,151.91951497395834
1991Q1,289.07537841796875
1991Q2,91.35428873697917
1991Q3,115.54063161214192
1991Q4,101.84789276123047
1992Q1,91.81947326660156
1992Q2,86.22428639729817
1992Q3,77.1505610148112
1992Q4,80.87091318766277
1993Q1,104.5425287882487
1993Q2,109.21555582682292
1993Q3,103.24041493733723
1993Q4,89.73262786865234
1994Q1,98.06869252522786
1994Q2,106.72533416748047
1994Q3,98.92191569010417
1994Q4,92.4769795735677
1995Q1,79.75815073649089
1995Q2,97.2137222290039
1995Q3,95.2617899576823
1995Q4,69.91568501790364
1996Q1,79.40115356445312
1996Q2,73.1493428548177
1996Q3,83.50964609781902
1996Q4,62.63802591959635
1997Q1,54.367478688557945
1997Q2,51.822041829427086
1997Q3,46.32327016194662
1997Q4,51.145982106526695
1998Q1,62.6473274230957
1998Q2,73.92638142903645
1998Q3,71.19423929850261
1998Q4,66.10982259114583
1999Q1,68.56696192423503
1999Q2,90.34989674886067
1999Q3,64.86100896199544
1999Q4,72.13409678141277
2000Q1,59.36717224121094
2000Q2,64.29447937011719
2000Q3,50.36209233601888
2000Q4,55.637396494547524
2001Q1,54.565406799316406
2001Q2,61.00331242879232
2001Q3,207.94285456339517
2001Q4,351.80511983235675
2002Q1,156.8797607421875
2002Q2,156.7164306640625
2002Q3,141.58206431070963
2002Q4,168.99041239420572
2003Q1,268.2522379557292
2003Q2,187.88892618815103
2003Q3,130.4420394897461
2003Q4,118.62304941813152
2004Q1,122.35854593912761
2004Q2,135.9854990641276
2004Q3,141.75243123372397
2004Q4,117.48846944173177
2005Q1,100.09201304117839
2005Q2,88.78747304280598
2005Q3,128.64574686686197
2005Q4,88.63072458902995
2006Q1,94.38861083984375
2006Q2,92.26578267415364
2006Q3,131.98006693522134
2006Q4,97.50692749023438
2007Q1,93.80863444010417
2007Q2,89.06175994873047
2007Q3,96.66944122314453
2007Q4,95.41198476155598
2008Q1,79.9624760945638
2008Q2,77.34234364827473
2008Q3,88.9454116821289
2008Q4,78.53573354085286
2009Q1,75.1555913289388
2009Q2,85.49298350016277
2009Q3,83.2171630859375
2009Q4,88.54169209798177
2010Q1,82.14110819498698
2010Q2,91.39132944742839
2010Q3,77.18126424153645
2010Q4,85.96700032552083
2011Q1,102.10813649495442
2011Q2,93.58484395345052
2011Q3,83.07559204101562
2011Q4,81.61297861735027
2012Q1,86.94692484537761
2012Q2,84.00342559814453
2012Q3,75.65562947591145
2012Q4,79.29495493570964
2013Q1,82.71484883626302
2013Q2,87.2660649617513
2013Q3,88.46396382649739
2013Q4,73.70154317220052
2014Q1,88.91934967041016
2014Q2,91.8058344523112
2014Q3,135.58539835611978
2014Q4,84.85575866699219
2015Q1,109.3818868001302
2015Q2,88.11959584554036
2015Q3,96.01821645100911
2015Q4,130.29488118489584
2016Q1,110.56036122639973
2016Q2,87.90733337402344
2016Q3,105.9647216796875
2016Q4,90.28233591715495
2017Q1,105.34782409667969
2017Q2,116.27630106608073
2017Q3,118.95984141031902
2017Q4,88.92528025309245
2018Q1,89.62681833902995
2018Q2,117.63289388020833
2018Q3,99.27467346191406
2018Q4,87.67724355061848
2019Q1,88.8508529663086
2019Q2,97.43793487548828
2019Q3,95.76455434163411
2019Q4,81.73166910807292
2020Q1,98.6388448079427
2020Q2,69.69149271647136
2020Q3,70.77223714192708
2020Q4,70.07264200846355
2021Q1,76.66475677490234
2021Q2,85.10015869140625
2021Q3,76.20142873128255
2021Q4,90.31460062662761
2022Q1,224.59630839029947
2022Q2,154.70296732584634
2022Q3,127.34195200602214
2022Q4,123.69154612223308
2023Q1,110.21379852294922
2023Q2,108.60209401448567
2023Q3,102.40825907389323
2023Q4,165.6208699544271
2024Q1,146.72833251953125
2024Q2,135.8540013631185
2024Q3,121.24290720621745
2024Q4,133.9857635498047
2025Q1,141.40101623535156
2025Q2,175.90958150227866
2025Q3,131.88345591227213
2025Q4,127.17398834228516
