horizon,mu_cp,CPI_QoQ_Ann,Ind_Value_Added_YoY,Food_CPI_YoY_qavg,epu_qavg,gpr_qavg
0,0.3223649160146195,0.07576805684355326,0.15564866274165742,-0.050334170523724145,-0.10820240539260778,-0.10385530330570253
1,0.18945670837064085,0.028958635575589434,0.12596543665668491,-0.024587863438542426,-0.15636501024501007,-0.06412588150447034
2,0.1512388069500753,0.011074555993584648,0.06952681906921793,0.04041036027210325,-0.1354153751428302,-0.06046482759669486
3,0.09871799839257525,0.013151908442131726,0.03236028363557489,0.03599079892084339,-0.11030071706929545,-0.02292576477462919
4,0.0645789296332816,-0.025499810947246578,0.05562554013715973,0.03462392110040963,-0.08181756173393087,-0.0339799883823376
5,0.05857348729043291,0.00694451018684496,0.049100184540280575,0.02315518050641312,-0.06973130839123863,-0.04217582360922105
6,0.04707067191686313,-0.007652075222337268,0.0493394358364335,0.013705698333053611,-0.06292539956429213,-0.04604758764796846
7,0.03639071501575971,0.0013867776190207405,0.031098852759892576,0.0034051497286161306,-0.053284503061760025,-0.03545104983645726
8,0.02775167186025959,-0.005770384629641743,0.028815949521653252,-0.0032211080947664346,-0.044046388297817846,-0.020432354346105144
9,0.025879163411271416,0.0031349469585969106,0.019868848595548723,-0.007266520248610747,-0.03589800496382302,-0.009007005560763844
10,0.022872682832704293,-0.0020249397273004854,0.018149662327463054,-0.006849253265193866,-0.029764599563904804,-0.005937814148941369
11,0.01831056331437562,0.0005731304428800784,0.009652356969268812,-0.005464559090073434,-0.024381728013970164,-0.002157110149208141
12,0.014178063070768163,-0.002402026759455553,0.011097261390182765,-0.0037677776170218467,-0.01909730889374168,-0.0016417147017231764
