variable,h,p16,p50,p84
mu_cp,0,0.19249061550815977,0.3491750088077749,0.5062094528418632
mu_cp,1,0.07593746236320903,0.19477138589011497,0.33391789165852376
mu_cp,2,0.06188612525895023,0.14028154663577866,0.23343302590661613
mu_cp,4,0.0148227405920662,0.09528832881409077,0.1861123233269013
mu_cp,8,-0.004777808970807639,0.038408818275351,0.10899204146847209
mu_cp,12,-0.0066091606022334595,0.01689084443005366,0.07072613001750994
CPI_QoQ_Ann,0,-0.14354817181519408,0.08782453373145858,0.3311582500583569
CPI_QoQ_Ann,1,-0.10790732491585121,0.04162019566550062,0.18141666708727125
CPI_QoQ_Ann,2,-0.1406205216713442,-0.029827367776634296,0.0818156230628147
CPI_QoQ_Ann,4,-0.06341864352779489,0.002352137311548801,0.06207014996351623
CPI_QoQ_Ann,8,-0.03668261476248126,-0.0038306281382802184,0.02324416474108564
CPI_QoQ_Ann,12,-0.022714002312179585,-0.002403659966601902,0.010620796209374648
Ind_Value_Added_YoY,0,-0.11276769806825383,0.13837854812933684,0.3742361570196336
Ind_Value_Added_YoY,1,-0.07759819268716248,0.06217685183607191,0.20479213894356965
Ind_Value_Added_YoY,2,-0.053198143011639124,0.04846242844215369,0.16009141019511633
Ind_Value_Added_YoY,4,0.005687972111480366,0.07890749868115333,0.16605720848214742
Ind_Value_Added_YoY,8,-0.004552350481758709,0.03179810978190027,0.09046461637862185
Ind_Value_Added_YoY,12,-0.005211357236952986,0.014949741333538762,0.056996164968526324
epu_qavg,0,-0.3986634543583632,-0.16483440715196512,0.10489990185080511
epu_qavg,1,-0.3167472598589336,-0.16661302318619864,0.009334303421245775
epu_qavg,2,-0.27440040737668453,-0.13172071290167325,0.021818038720069897
epu_qavg,4,-0.21281597865037827,-0.0988018281965088,0.01261990436726977
epu_qavg,8,-0.148991982282165,-0.05029038598009744,0.012181047236340397
epu_qavg,12,-0.10620416514464363,-0.02425257528157611,0.010162400916644625
gpr_qavg,0,-0.39135577655442333,-0.023334373461329754,0.36472267248085244
gpr_qavg,1,-0.17596242673499832,0.04868108955089194,0.27303486827454115
gpr_qavg,2,-0.1933013277144873,-0.051635966495724654,0.0946560078698651
gpr_qavg,4,-0.1204529683430594,-0.027468995331006916,0.06360863161773032
gpr_qavg,8,-0.053380569984569685,-0.0076965138060718875,0.03334723726644545
gpr_qavg,12,-0.027406304362435706,-0.0027346950284633954,0.019489142978119354
