horizon,mu_cp,CPI_QoQ_Ann,Ind_Value_Added_YoY,epu_qavg,gpr_qavg
0,0.2446514976929827,-0.012793296319087311,0.026014246883857083,0.03451180053390162,0.11719323945543134
1,0.12176368631010911,0.021072264136328213,0.00979414448409038,0.00897233094452121,-0.0049114970956697975
2,0.11695016752813994,0.020656753805592478,0.0653244140559976,-0.02112654890423398,0.0013901061940560966
3,0.003576696339078552,0.03351682058970247,-0.13177759537609296,-0.06275289504860926,0.0717554056251899
4,-0.08250445655147792,-0.12565162670350183,-0.0032667535585511466,-0.013529599001507454,0.015773301918995564
5,-0.025847626897758894,0.021272394419796156,0.032230841098408985,-0.034754090437224,0.005073381095598238
6,0.0201570010655182,0.0028806356585176604,0.04510354316023668,-0.035384997025220216,-0.0425451091006209
7,-0.011555022268999316,-0.05204460829438153,0.020204089100206702,-0.050511936507132406,0.011571540308058278
8,0.003927898598314205,-0.02512013457781688,0.006317467405565182,-0.03008441278764698,0.008880896218122186
9,0.0236534871651829,-0.003959389825407484,0.0414772705592144,-0.01912683525133394,0.03606698326861368
10,0.04752740532879623,0.03538031358488405,-0.001634335227983569,-0.03842720955753116,0.04771978964490234
11,0.019876821395470187,-0.023163302304875698,-0.006266182286403671,-0.03705193722599098,0.03231811327698306
12,-0.0006909935040027629,-0.027754339406495035,-0.001289058213989853,-0.02187307546966508,0.017413802424230698
