quarter,actual,forecast_naive,forecast_policy,err_naive,err_policy,covered68_naive,covered68_policy,covered90_naive,covered90_policy
2019Q2,8.31407285527872,0.708202218465266,-1.72116874643289,7.60587063681345,10.0352416017116,0,0,0,0
2019Q3,5.09434762745362,0.671615348143901,3.38172774489408,4.42273227930972,1.71261988255954,0,1,1,1
2019Q4,3.84189884254027,-0.297647831865505,5.21143644666083,4.13954667440578,-1.36953760412056,0,1,1,1
2020Q1,-6.6793819032025,-0.466711739531343,1.54177995628863,-6.21267016367116,-8.22116185949113,0,0,0,0
2020Q4,4.46474319845234,0.0147542738854242,5.15553815113682,4.44998892456692,-0.690794952684478,0,1,1,1
2021Q1,-3.54157816980345,0.436380772322972,2.43457849099682,-3.97795894212642,-5.97615666080027,0,0,1,0
2021Q2,1.61084008871999,-0.225122632621821,2.70485705533126,1.83596272134181,-1.09401696661127,1,1,1,1
2021Q3,3.23652242746495,0.206730256281354,1.04120703959937,3.0297921711836,2.19531538786559,1,1,1,1
2021Q4,4.07029224215216,0.283933641980475,-0.140386526439906,3.78635860017168,4.21067876859207,0,0,1,1
2022Q1,0.799184001727937,0.893237112585261,1.43617577565556,-0.0940531108573239,-0.636991773927627,1,1,1,1
2022Q2,2.83239055546183,0.0929198254876136,1.04354806353896,2.73947072997422,1.78884249192287,1,1,1,1
2022Q3,-0.400197999904028,0.309715554175738,-3.3807730157495,-0.709913554079766,2.98057501584547,1,1,1,1
