quarter,beta_mean,beta_q16,beta_q84,beta_q05,beta_q95
2013Q4,-0.293248975063913,-1.6190360864810895,1.0272540445628822,-2.5153733260332136,1.975098108389816
2014Q1,-0.5819854418150847,-2.123943016298921,0.966898177562328,-3.1476383556866145,2.0396308655246513
2014Q2,-1.0512390227619235,-2.7403396647752087,0.6667389441339585,-3.9070138629121813,1.80639884227705
2014Q3,-1.2273470376047542,-2.7403306593645187,0.34763141279282517,-3.7887263935164794,1.4087672719582254
2014Q4,-1.5897110305727187,-3.3022433901733734,0.16476409394474256,-4.470154411705179,1.2988409297441936
2015Q3,-1.9773868703264228,-3.8291309672366705,-0.12225692247421553,-5.129581666798789,1.1464342334027864
2015Q4,-2.230559007392245,-4.156467174460699,-0.315117881309777,-5.549776939767386,1.0471720385496295
2016Q1,-2.449461590852317,-4.4776394035113825,-0.3846832754929414,-5.971757279504717,0.9978898764334975
2016Q2,-2.544270686726133,-4.569261519863932,-0.5019096013402577,-6.025519936200107,0.9109726436790355
2016Q3,-2.5918124973366887,-4.882241781018484,-0.34437318106086,-6.5078627757691905,1.372276027921722
2016Q4,-2.697762504984951,-5.1444585035478365,-0.2588381593775929,-6.923669856818969,1.4473984859825122
2017Q1,-2.546879888811097,-4.931451443099376,-0.15242455601326294,-6.58433901375885,1.4599084471444894
2017Q2,-2.5955477558059656,-5.1201399873139355,-0.06239704914323045,-6.888762983461569,1.754594779917722
2017Q3,-2.576621040373279,-5.3240619004149,0.14312677921345396,-7.197555498638172,1.9887617118462928
2017Q4,-2.7289231295383947,-5.487678500398802,-0.06270171090214079,-7.29759225007156,1.9112910014738775
2018Q1,-2.841063525046824,-5.592488667396289,-0.14728701493220628,-7.462746394864667,1.7056526846489741
2018Q2,-2.857557539147732,-5.7793685918193844,0.0014233187712957547,-7.872228785981702,1.9851998579790362
2018Q3,-2.669543884442989,-5.491057565182118,0.07286078710763919,-7.510119518020972,1.978658779891353
2018Q4,-2.5135979056268862,-5.090174914831368,0.04540244908893519,-6.9405243635369525,1.718991817902947
2019Q1,-2.416270752013665,-4.8073378283093,-0.03261573622535299,-6.562751426482578,1.7452358111765436
2019Q2,-2.1946529293843136,-4.374618327786191,-0.07476639728219221,-5.834809515880728,1.4414923123260466
2019Q3,-2.2817737313709783,-4.258750113031885,-0.2556535912979513,-5.633801121453798,1.1176214047253104
2019Q4,-2.5122810581032597,-4.453237656845154,-0.5393738746297435,-5.73001774732008,0.6998576263551927
2020Q1,-2.607525873237719,-4.6094356583510185,-0.631039595050782,-5.937787494478403,0.7077150567647813
2020Q4,-2.502702273594486,-4.726023487301563,-0.2508988819566638,-6.322461050685398,1.2748253969780703
2021Q1,-2.5985194669862914,-5.32309596460683,0.10167903096454808,-7.108472283045392,1.9164286937572166
2021Q2,-2.5291986102250092,-5.512298133892307,0.46917906308601387,-7.46428783394951,2.5171475106633063
2021Q3,-2.5849716982354236,-6.2471873854416575,1.0279937389540275,-8.48338651710967,3.58307065919649
2021Q4,-2.570829165057796,-6.565005448427788,1.4429692745226101,-9.184783694664942,4.343938213466895
2022Q1,-2.1723066047813866,-4.368371510408638,-0.03274496162465537,-5.780671748577737,1.4649953842685415
2022Q2,-1.8602488771047374,-4.4231881792596,0.6849773671824845,-6.195826527362503,2.4311464945276744
2022Q3,-1.6695146300095722,-4.705418986348755,1.414949132218475,-6.975843226502418,3.4636555685182664
